Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
17,Female,Caucasian,Some College,19.83372281,7,Yes,Moderate,No,No,Yes,No,2.929195592
18,Male,Caucasian,High School,15.40875606,0,No,Low,No,No,No,No,3.042914833
15,Male,Asian,Bachelor's,4.210569769,26,No,Moderate,No,No,No,No,0.112602254
17,Female,Caucasian,Bachelor's,10.02882947,14,No,High,Yes,No,No,No,2.05421814
17,Female,Caucasian,Some College,4.672495273,17,Yes,High,No,No,No,No,1.288061182
18,Male,Caucasian,High School,8.191218545,0,No,Low,Yes,No,No,No,3.084183614
15,Male,African American,High School,15.60168047,10,No,High,No,Yes,No,No,2.748237415
15,Female,African American,Higher,15.42449631,22,Yes,Low,Yes,No,No,No,1.360142712
17,Male,Caucasian,None,4.562007558,1,No,Moderate,No,Yes,No,Yes,2.89681919
16,Female,Caucasian,High School,18.44446636,0,No,High,Yes,No,No,No,3.57347421
17,Male,Caucasian,High School,11.85136366,11,No,Low,No,No,No,No,2.147171625
17,Male,Caucasian,High School,7.598485819,15,No,Moderate,No,No,No,Yes,1.559594519
17,Male,African American,High School,10.03871162,21,No,High,Yes,No,No,No,1.520077815
17,Male,African American,Some College,12.10142507,21,No,Very High,No,Yes,No,No,1.751580958
18,Female,Caucasian,High School,11.19781064,9,Yes,Moderate,No,No,No,No,2.396788117
15,Male,Caucasian,Some College,9.728100711,17,Yes,None,No,Yes,No,No,1.341520717
18,Male,Other,High School,10.09865608,14,No,Moderate,Yes,Yes,No,No,2.232175278
18,Female,Caucasian,None,3.528238209,16,Yes,Moderate,No,No,No,No,1.384404176
18,Male,African American,Bachelor's,16.25465809,29,No,Moderate,Yes,No,No,Yes,0.469553323
17,Male,Caucasian,High School,10.8352064,9,No,Moderate,No,No,Yes,No,2.395784095
16,Female,Caucasian,Bachelor's,2.621597234,2,No,High,No,No,No,Yes,2.7784113
15,Male,Caucasian,Some College,15.32314203,25,No,Low,Yes,No,No,No,0.346894037
16,Female,African American,None,18.64887957,29,Yes,Low,No,No,No,No,0.312546231
18,Female,Other,Higher,18.94613798,20,No,Moderate,Yes,No,No,No,1.770131877
18,Female,Caucasian,High School,7.380354648,15,No,Moderate,No,No,No,No,1.505155622
16,Female,Caucasian,Bachelor's,2.710337471,5,No,Very High,No,No,Yes,No,2.977851918
16,Male,Caucasian,High School,10.36799253,2,No,Moderate,No,Yes,No,No,2.948717672
